doc_id,filename,file_format,doc_title,compliance_area,compliance_subarea,doc_type,source_authority,approx_pages,contains_named_individuals,contains_named_organisations,anonymisation_required,attribution_required,attribution_text,notes
doc_024,Lyle_Gateway_Complaints_and_Challenging_Situations_Procedure_Internal.docx,docx,Internal Complaints and Challenging Situations Procedure,governance,complaints,procedure,repository,10,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_025,Lyle_Gateway_Data_Breach_Procedure_v0.5.docx,docx,Data Breach Procedure,data_protection,data_breach,procedure,repository,3,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant. Named individuals present.
doc_026,Lyle_Gateway_Document_Retention_Policy_v0.5.docx,docx,Document Retention Policy,data_protection,retention,policy,repository,3,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant. Named individuals present.
doc_027,Lyle_Gateway_Information_Security_Procedure_v0.5.docx,docx,Information Security Procedure,data_protection,it_and_information_security,procedure,repository,6,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant. Named individuals present.
doc_028,Lyle_Gateway_Privacy_Notice_v0.5.docx,docx,Privacy Notice,data_protection,privacy_notice,policy,repository,6,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant.
doc_029,Lyle_Gateway_SAR_Procedure_v0.5.docx,docx,Subject Access Request Procedure,data_protection,subject_access_requests,procedure,repository,4,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. ICO relevant. Named individuals present.
doc_030,Lyle_Gateway_Trustee_and_Staff_Induction_Checklist_v0.5.docx,docx,Trustee and Staff Induction Checklist,governance,trustee_induction,checklist,repository,2,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_031,Referral Policy (Disclosure Scotland) Version 1 2 Dec. 2025.docx,docx,Referral Policy for Disclosure Scotland,safeguarding,disclosure_scotland,policy,repository,2,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Regulated activity. Named individuals present.
doc_032,SG-Handbook-Chapter-1-2024-07-31.pdf,pdf,Church of Scotland Safeguarding Handbook Chapter 1,safeguarding,safeguarding_values,guidance,faith_organisation,10,FALSE,FALSE,FALSE,TRUE,Church of Scotland Safeguarding Handbook. Published by the Church of Scotland. Attribution required wherever referenced. Not Open Government Licence.,Church of Scotland publication — no anonymisation required. Useful reference for faith-connected charities. Compliance subarea updated to safeguarding_values.
doc_033,Safeguarding_Alignment_Note.docx,docx,Safeguarding Alignment Note,safeguarding,safeguarding_policy,guidance,repository,3,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Verify no named individuals on curator review.
doc_034,Secure Handling of Disclosure Information Policy (Lyle Gateway 2 December 2025 V1).docx,docx,Secure Handling of Disclosure Information Policy,safeguarding,disclosure_scotland,policy,repository,4,TRUE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Regulated activity. Special category data. Named individuals present.
doc_035,Volunteer Agreement draft and thoughts.docx,docx,Volunteer Agreement,volunteering,volunteer_agreements,template,repository,3,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Draft pending board approval.
doc_036,Volunteer Policy drafts and thoughts.docx,docx,Volunteer Policy,volunteering,volunteer_management,policy,repository,5,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust. Draft pending board approval.
doc_037,Volunteer_Welcome_Pack_Full.docx,docx,Volunteer Welcome Pack,volunteering,volunteer_induction,template,repository,9,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_038,lyle Gateway - Gift Register Policy v1.0.docx,docx,Gift Register Policy,financial_controls,gifts_and_hospitality,policy,repository,2,FALSE,TRUE,TRUE,FALSE,,Lyle Gateway document — anonymise to Strathaven Community Trust.
doc_039,template-SCIO-constitution-two-tier-may2022.docx,docx,SCIO Constitution Template Two-Tier,governance,constitutional_documents,template,legal_publisher,9,FALSE,FALSE,FALSE,TRUE,Burness Paull SCIO constitution template distributed via SCVO. Attribution to Burness Paull required wherever referenced.,Burness Paull template — no anonymisation required. Source authority updated to legal_publisher.
doc_040,volunteer_safeguarding_guide.html,html,Volunteer Safeguarding Guide,safeguarding,volunteer_safeguarding,guidance,repository,1,FALSE,TRUE,TRUE,FALSE,,HTML format — anonymise to Strathaven Community Trust. Check for named organisations before ingestion.
